Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2025-05-02,566.760009765625,568.3800048828125,562.3800048828125,564.72998046875,60717300
2025-05-05,563.510009765625,566.6500244140625,561.7000122070312,562.5700073242188,38659200
2025-05-06,558.7999877929688,563.3499755859375,556.9600219726562,557.9299926757812,48264700
2025-05-07,561.1500244140625,563.8200073242188,556.0399780273438,560.1500244140625,55588000
2025-05-08,565.0599975585938,570.3099975585938,561.7000122070312,565.239990234375,65130800
2025-05-09,564.3400268554688,567.5,562.760009765625,566.47998046875,37603400
2025-05-12,582.989990234375,583.0,577.0399780273438,581.469970703125,78993600
2025-05-13,586.8400268554688,589.0800170898438,582.8400268554688,583.4099731445312,67947200
2025-05-14,587.5900268554688,588.97998046875,585.5399780273438,587.8099975585938,66283500
2025-05-15,590.4600219726562,590.969970703125,585.0999755859375,585.5599975585938,71268100
2025-05-16,594.2000122070312,594.5,589.280029296875,591.25,76052100
2025-05-19,594.8499755859375,595.5399780273438,588.0999755859375,588.0999755859375,68168500
2025-05-20,592.8499755859375,594.0499877929688,589.5999755859375,593.0900268554688,60614500
2025-05-21,582.8599853515625,592.5800170898438,581.8200073242188,588.4400024414062,95197700
2025-05-22,583.0900268554688,586.6199951171875,581.4099731445312,582.6599731445312,70860400
2025-05-23,579.1099853515625,581.8099975585938,575.5999755859375,575.97998046875,76029000
2025-05-27,591.1500244140625,591.3099975585938,578.4299926757812,586.0700073242188,72588500
2025-05-28,587.72998046875,592.77001953125,586.989990234375,591.5599975585938,68445500
2025-05-29,590.0499877929688,593.2000122070312,586.0700073242188,593.0599975585938,69973300
2025-05-30,589.3900146484375,591.1300048828125,583.239990234375,588.9299926757812,90601200
2025-06-02,592.7100219726562,592.7899780273438,585.0599975585938,587.760009765625,61630500
2025-06-03,596.0900268554688,597.0800170898438,591.8499755859375,592.3400268554688,63606200
2025-06-04,595.9299926757812,597.9500122070312,595.489990234375,596.9600219726562,57314200
2025-06-05,593.0499877929688,599.0,591.0499877929688,597.6300048828125,92278700
2025-06-06,599.1400146484375,600.8300170898438,596.8599853515625,598.6599731445312,66588700
2025-06-09,599.6799926757812,601.25,598.489990234375,599.719970703125,53016400
2025-06-10,603.0800170898438,603.469970703125,599.0900268554688,600.219970703125,66247000
2025-06-11,601.3599853515625,605.0599975585938,599.27001953125,604.1900024414062,73658200
2025-06-12,603.75,603.75,599.52001953125,600.010009765625,64129000
2025-06-13,597.0,601.8499755859375,595.47998046875,598.5,89385600
